,OTU,Sample,Abundance,Group,Smple.ID,Treatment,Rep,Year_Month,Season,Location,Season_Location,Season_Year_Location,Year,Ph,TotalN,GravSoilMois,organicmatter,RespiredC,satH,satCa,satMg,satK,satNa,Kingdom,Phylum,Class,Order,Family,Genus,Taxonomy,,,Genus1
51570,Otu004,BDM09160011BF,0.036932501,BDM09160011BF,204,BioAgri,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.55,38,11.35802469,1.4,6.877378118,65,27,5,2,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51571,Otu004,BDM05160036BF,0.036406734,BDM05160036BF,201,PLA/PHA,2,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,5.595,NA,14.3258427,NA,4.299283462,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51572,Otu004,BDM09160003BF,0.030309891,BDM09160003BF,103,PLA/PHA,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.85,35,8.8,1.5,3.830969423,62,30,5,2,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51573,Otu004,BDM09160015BF,0.028529919,BDM09160015BF,301,Naturecycle,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.45,33,11.98979592,1.6,7.105386058,53,36,8,2,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51574,Otu004,BDM09150008BF,0.02173957,BDM09150008BF,201,PLA/PHA,2,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,4.72,32,8.326771648,1.7,2.874319212,77,18,3,2,0,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51575,Otu004,BDM09160001BF,0.020890653,BDM09160001BF,101,Weedguard,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6,41,12.15277778,1.5,13.16544047,67,25,4,3,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51576,Otu004,BDM09160008BF,0.019763682,BDM09160008BF,201,PLA/PHA,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.65,30,9.635416667,1.7,10.68624742,49,39,7,4,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51410,Otu004,BDM05150049BF,0.113877128,BDM05150049BF,308,Organix,3,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.3,12,22.6744186,2.4,15.37231109,42,46,7,4,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51413,Otu004,BDM09150039BF,0.103011417,BDM09150039BF,204,BioAgri,2,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,5.9,19,22.49335588,2.3,3.655465696,38,50,7,4,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51414,Otu004,BDM05150037BF,0.101823105,BDM05150037BF,202,No Mulch,2,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.2,12,22.29617304,2.4,14.62863052,40,47,7,5,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51418,Otu004,BDM05150038BF,0.099157035,BDM05150038BF,203,Weedguard,2,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.2,21,19.98577525,2.4,13.09500205,36,49,8,6,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51419,Otu004,BDM05150044BF,0.098511866,BDM05150044BF,302,Weedguard,3,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.4,17,21.12244898,2.5,14.5656793,25,59,9,6,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51420,Otu004,BDM09150044BF,0.098122239,BDM09150044BF,302,Weedguard,3,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,6.2,14,22.57601149,2.4,4.191668159,43,46,6,4,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51421,Otu004,BDM05160021BF,0.096955245,BDM05160021BF,308,Organix,3,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,NA,NA,22.84016612,NA,4.835609047,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51427,Otu004,BDM09150038BF,0.094522834,BDM09150038BF,203,Weedguard,2,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,5.7,56,23.03536346,2.3,3.710374285,58,33,5,3,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51428,Otu004,BDM05160003BF,0.094089693,BDM05160003BF,103,PLA/PHA,1,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,NA,NA,22.52535568,NA,5.725974561,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51429,Otu004,BDM05150036BF,0.093884836,BDM05150036BF,201,PLA/PHA,2,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.2,16,23.60604482,2.3,14.17316835,27,56,10,6,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51430,Otu004,BDM09150031BF,0.092831557,BDM09150031BF,103,PLA/PHA,1,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,5.8,48,20.11291461,2.2,2.478476903,36,50,9,3,2,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51431,Otu004,BDM05150035BF,0.091979341,BDM05150035BF,108,Polyethylene,1,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.2,6,21.49333333,2.5,13.10261405,36,50,8,5,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51432,Otu004,BDM05160007BF,0.091722315,BDM05160007BF,108,Polyethylene,1,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,NA,NA,22.83717688,NA,4.738045607,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51433,Otu004,BDM05160006BF,0.091610911,BDM05160006BF,107,Organix,1,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,NA,NA,22.10840242,NA,-0.096103125,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51434,Otu004,BDM09150037BF,0.091089738,BDM09150037BF,202,No Mulch,2,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,5.8,72,19.48927969,2.4,3.353531009,63,31,4,2,0,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51435,Otu004,BDM05150048BF,0.090930571,BDM05150048BF,307,No Mulch,3,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.2,6,28.02547771,2.3,17.10240846,49,39,7,4,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51436,Otu004,BDM05160015BF,0.090612495,BDM05160015BF,301,Naturecycle,3,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,NA,NA,23.64969866,NA,4.213030247,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51437,Otu004,BDM05160001BF,0.09053693,BDM05160001BF,101,Weedguard,1,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,NA,NA,23.32275546,NA,6.467224541,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51438,Otu004,BDM05150030BF,0.090212066,BDM05150030BF,102,BioAgri,1,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.4,10,21.8579235,2.3,16.73779786,33,52,9,5,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51439,Otu004,BDM09150042BF,0.090151612,BDM09150042BF,207,Polyethylene,2,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,6,6,18.22892134,2.2,2.855857074,51,40,6,2,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51440,Otu004,BDM05150034BF,0.089989977,BDM05150034BF,107,Organix,1,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.2,8,22.42647059,2.2,10.94679646,34,52,9,4,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51441,Otu004,BDM09150036BF,0.089630873,BDM09150036BF,201,PLA/PHA,2,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,6,6,20.75750123,2.3,3.335969186,42,47,7,3,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51442,Otu004,BDM09150043BF,0.089584485,BDM09150043BF,301,Naturecycle,3,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,6.2,16,21.59227986,2.5,4.831513422,42,46,7,4,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51443,Otu004,BDM09150049BF,0.088823881,BDM09150049BF,308,Organix,3,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,5.8,22,21.96896217,2.2,3.495600711,58,34,5,2,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51444,Otu004,BDM05150031BF,0.088747714,BDM05150031BF,103,PLA/PHA,1,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.2,13,22.22222222,2.2,12.95169094,34,51,9,5,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51445,Otu004,BDM05160009BF,0.087981305,BDM05160009BF,202,No Mulch,2,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,NA,NA,21.83536687,NA,6.699597781,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51449,Otu004,BDM05150043BF,0.08709904,BDM05150043BF,301,Naturecycle,3,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.4,17,19.41896024,2.4,12.3287849,32,53,9,5,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51450,Otu004,BDM05160002BF,0.087087532,BDM05160002BF,102,BioAgri,1,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,NA,NA,23.53487664,NA,4.928205102,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51451,Otu004,BDM05160020BF,0.086953644,BDM05160020BF,307,No Mulch,3,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,NA,NA,23.28824976,NA,6.99692159,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51452,Otu004,BDM09150041BF,0.086589129,BDM09150041BF,206,Naturecycle,2,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,5.9,12,21.57413914,2.2,3.882353871,27,59,9,4,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51453,Otu004,BDM05150046BF,0.086424325,BDM05150046BF,305,BioAgri,3,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.1,9,21.76165803,2.5,16.13511783,49,39,7,4,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51455,Otu004,BDM09150030BF,0.085969555,BDM09150030BF,102,BioAgri,1,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,5.7,66,21.56862745,2.3,2.583288266,45,44,7,3,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51456,Otu004,BDM05150032BF,0.085936421,BDM05150032BF,105,Naturecycle,1,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.1,9,21.76470588,2.2,10.92703873,35,50,9,5,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51457,Otu004,BDM05150039BF,0.085922916,BDM05150039BF,204,BioAgri,2,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.1,15,21.25765164,2.3,15.54256075,34,51,8,6,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51460,Otu004,BDM05160008BF,0.084597903,BDM05160008BF,201,PLA/PHA,2,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,NA,NA,22.34769186,NA,5.412301989,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51461,Otu004,BDM09150035BF,0.084196594,BDM09150035BF,108,Polyethylene,1,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,6,6,17.39030554,2.2,2.076609627,68,25,4,2,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51462,Otu004,BDM09150045BF,0.084165872,BDM09150045BF,304,Polyethylene,3,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,5.9,9,17.33760293,2.4,1.243036392,65,29,4,2,0,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51463,Otu004,BDM05150047BF,0.083925911,BDM05150047BF,306,PLA/PHA,3,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.2,10,22.59887006,2.3,15.35345069,56,34,6,3,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51465,Otu004,BDM05150029BF,0.083612151,BDM05150029BF,101,Weedguard,1,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.2,14,20.46783626,2.3,13.22227717,40,47,8,4,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51466,Otu004,BDM05160017BF,0.083544741,BDM05160017BF,304,Polyethylene,3,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,NA,NA,22.90078485,NA,8.683090529,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51467,Otu004,BDM09150033BF,0.083130744,BDM09150033BF,106,No Mulch,1,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,5.9,102,20.18244014,2.3,2.487275321,43,44,8,4,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51468,Otu004,BDM09160044BF,0.082695133,BDM09160044BF,302,Weedguard,3,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.7,17,20.27067081,2.3,5.540266956,48,42,6,3,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51469,Otu004,BDM05160011BF,0.082644818,BDM05160011BF,204,BioAgri,2,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,NA,NA,22.06501976,NA,4.523033984,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51470,Otu004,BDM05150042BF,0.082559751,BDM05150042BF,207,Polyethylene,2,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.2,6,19.61414791,2.2,16.16885754,16,66,11,6,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51472,Otu004,BDM09150029BF,0.08223214,BDM09150029BF,101,Weedguard,1,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,5.9,34,22.10601379,2.2,4.53263277,37,50,8,4,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51473,Otu004,BDM05150033BF,0.08199855,BDM05150033BF,106,No Mulch,1,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.2,6,22.23476298,2.3,12.74269897,34,51,9,5,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51475,Otu004,BDM05160014BF,0.081913346,BDM05160014BF,207,Polyethylene,2,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,NA,NA,21.67567223,NA,5.877885523,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51477,Otu004,BDM05160016BF,0.081367104,BDM05160016BF,302,Weedguard,3,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,NA,NA,23.72020837,NA,6.899009279,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51478,Otu004,BDM05150041BF,0.081166784,BDM05150041BF,206,Naturecycle,2,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.3,6,21.38038402,2.2,13.7474331,35,50,9,5,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51481,Otu004,BDM05160010BF,0.080949203,BDM05160010BF,203,Weedguard,2,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,NA,NA,21.66457843,NA,0.349770458,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51482,Otu004,BDM05150045BF,0.080269619,BDM05150045BF,304,Polyethylene,3,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.1,12,21.83908046,2.4,20.14142608,49,39,7,4,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51483,Otu004,BDM09160049BF,0.080188409,BDM09160049BF,308,Organix,3,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.2,15,21.36339238,2.3,6.570593666,58,34,5,2,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51484,Otu004,BDM05160019BF,0.079783849,BDM05160019BF,306,PLA/PHA,3,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,NA,NA,22.44140684,NA,2.13613909,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51486,Otu004,BDM09150047BF,0.079476578,BDM09150047BF,306,PLA/PHA,3,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,5.8,11,20.56230641,2.3,2.689408881,65,29,4,2,0,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51487,Otu004,BDM05160018BF,0.079393906,BDM05160018BF,305,BioAgri,3,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,NA,NA,30.57552804,NA,5.577236193,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51489,Otu004,BDM09160037BF,0.078645146,BDM09160037BF,202,No Mulch,2,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.7,17,17.15463788,2.3,6.396592121,41,48,7,3,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51490,Otu004,BDM09160042BF,0.078619178,BDM09160042BF,207,Polyethylene,2,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,5.4,20,19.7755161,2.1,4.809873458,51,40,6,2,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51491,Otu004,BDM05160013BF,0.078436144,BDM05160013BF,206,Naturecycle,2,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,NA,NA,21.79778595,NA,4.420077429,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
51492,Otu004,BDM05150040BF,0.077982389,BDM05150040BF,205,Organix,2,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,6.2,7,20.49736247,2.4,10.67141111,57,33,6,3,1,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4,Gp4 (Phylum: Acidobacteria),,,Gp4
